row_id,speaker_id,sentence_id,repetition_index,token_index,phoneme_label,wav_path,onset,offset,start_frame,stop_frame
0,AB,FRcorp1,1,2,d,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp1.wav,1.1,1.28,55,64
1,AB,FRcorp1,1,3,i,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp1.wav,1.28,1.57,64,79
2,AB,FRcorp1,1,5,ʒ,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp1.wav,1.62,1.80063,81,91
3,AB,FRcorp1,1,6,ɑ̃,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp1.wav,1.80063,2.07,90,104
4,AB,FRcorp1,1,7,ʃ,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp1.wav,2.07,2.31,103,116
5,AB,FRcorp1,1,8,i,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp1.wav,2.31,2.5,115,125
6,AB,FRcorp1,1,10,t,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp1.wav,2.55,2.6,127,130
7,AB,FRcorp1,1,11,ʁ,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp1.wav,2.6,2.7,130,135
8,AB,FRcorp1,1,12,w,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp1.wav,2.7,2.8,135,140
9,AB,FRcorp1,1,13,a,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp1.wav,2.8,2.97,140,149
10,AB,FRcorp1,1,14,f,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp1.wav,2.97,3.15,148,158
11,AB,FRcorp1,1,15,w,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp1.wav,3.15,3.23366,157,162
12,AB,FRcorp1,1,16,a,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp1.wav,3.23366,3.39,161,170
13,AB,FRcorp2,1,2,d,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp2.wav,0.84,1.01,42,51
14,AB,FRcorp2,1,3,i,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp2.wav,1.01,1.27,50,64
15,AB,FRcorp2,1,5,s,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp2.wav,1.45661,1.62,72,81
16,AB,FRcorp2,1,6,e,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp2.wav,1.62,1.74,81,87
