phoneme_label,feature,n_l1_main,n_l2_main,difference_l2_minus_l1_main,p_fdr_bh_main,significant_fdr_0_05_main,n_l1_range_filtered,n_l2_range_filtered,difference_l2_minus_l1_range_filtered,p_fdr_bh_range_filtered,significant_fdr_0_05_range_filtered,n_excluded_by_range_filter,conclusion_changed,absolute_effect_change
a,f1_lobanov,1336,1763,-0.0034334654407395,0.07395211769677,False,1336,1755,-0.01282150933832571,0.1066353360120102,False,8,False,0.009388043897586209
a,f2_lobanov,1336,1763,-0.0725755586718629,0.8313263226935267,False,1336,1763,-0.07257555867186294,0.8313263226935267,False,0,False,4.163336342344337e-17
e,f1_lobanov,109,132,-0.0543896166981893,0.9847422907352572,False,109,132,-0.05438961669818934,0.9847422907352572,False,0,False,4.163336342344337e-17
e,f2_lobanov,109,132,-0.0579149724787045,0.4076407889780341,False,109,132,-0.057914972478704585,0.40764078897803413,False,0,False,8.326672684688674e-17
i,f1_lobanov,910,962,-0.011196334573807,0.2833701850569806,False,910,960,-0.021093837835394424,0.24390216391271452,False,2,False,0.009897503261587424
i,f2_lobanov,910,962,0.0315529181636948,1.1573295395506498e-28,True,910,961,0.035180315003441986,6.680027906899562e-29,True,1,False,0.0036273968397471865
o,f1_lobanov,54,60,0.0447447416790287,0.4313310094304555,False,54,60,0.044744741679028754,0.4600864100591525,False,0,False,5.551115123125783e-17
o,f2_lobanov,54,60,0.0245394193643484,0.9884590084792488,False,54,60,0.024539419364348447,0.9884590084792487,False,0,False,4.85722573273506e-17
u,f1_lobanov,323,390,-0.1898995048556992,1.432613851191883e-14,True,323,390,-0.18989950485569929,1.432613851191883e-14,True,0,False,8.326672684688674e-17
u,f2_lobanov,323,390,0.1665972876807073,5.317216962114228e-05,True,323,390,0.16659728768070736,5.317216962114228e-05,True,0,False,5.551115123125783e-17
y,f1_lobanov,273,265,-0.303093890617483,0.0007955084060163,True,270,264,-0.253710992632879,0.0012029233508159137,True,4,False,0.04938289798460399
y,f2_lobanov,273,265,-0.2006504890996115,0.0007955084060163,True,273,265,-0.20065048909961156,0.0008362294190927152,True,0,False,5.551115123125783e-17
ø,f1_lobanov,108,120,0.1360067150556222,0.0148481661354605,True,108,120,0.13600671505562223,0.014848166135460547,True,0,False,2.7755575615628914e-17
ø,f2_lobanov,108,120,-0.0230997018718521,0.192996782002793,False,108,120,-0.02309970187185212,0.19299678200279305,False,0,False,1.734723475976807e-17
œ,f1_lobanov,0,1,,1.0,False,0,1,,1.0,False,0,False,
œ,f2_lobanov,0,1,,1.0,False,0,1,,1.0,False,0,False,
ɑ,f1_lobanov,608,399,0.0736669653222876,0.0065759919227904,True,608,398,0.06416841263055323,0.008066867639155737,True,1,False,0.009498552691734372
ɑ,f2_lobanov,608,399,0.0796677857479315,2.5062368814073808e-08,True,608,399,0.07966778574793154,2.5062368814073808e-08,True,0,False,4.163336342344337e-17
ə,f1_lobanov,30,87,0.2067544818334999,0.4132683580265648,False,30,86,0.16897055984878792,0.4848067774878788,False,1,False,0.03778392198471198
ə,f2_lobanov,30,87,-0.1403733395343729,0.192996782002793,False,30,87,-0.14037333953437292,0.19299678200279305,False,0,False,2.7755575615628914e-17
ɛ,f1_lobanov,162,185,-0.1845592379128152,1.1908954505816709e-05,True,162,185,-0.18455923791281525,1.1908954505816707e-05,True,0,False,5.551115123125783e-17
ɛ,f2_lobanov,162,185,-0.1478064981792761,1.0,False,162,185,-0.14780649817927616,1.0,False,0,False,5.551115123125783e-17
