phoneme_label,l1_status,gender,n_tokens,f1_missing_prop,f2_missing_prop,f3_missing_prop,f0_missing_prop,scg_missing_prop
a,L1,f,303,0.0,0.0,0.0,0.0,1.0
a,L1,m,1033,0.0,0.0,0.0,0.0851887705711519,1.0
a,L2,f,1462,0.0,0.0,0.0,0.0109439124487004,1.0
a,L2,m,301,0.0,0.0,0.0,0.0232558139534883,1.0
aː,L2,f,1,0.0,0.0,1.0,0.0,1.0
a̰,L1,m,2,0.0,0.0,1.0,0.0,1.0
a̰,L2,f,1,0.0,0.0,1.0,0.0,1.0
b,L1,f,14,0.0,0.0,1.0,0.2142857142857142,1.0
b,L1,m,42,0.0,0.0,1.0,0.1904761904761904,1.0
b,L2,f,34,0.0,0.0,1.0,0.088235294117647,1.0
b,L2,m,11,0.0,0.0,1.0,0.3636363636363636,1.0
b̥,L2,f,14,0.0,0.0,1.0,0.3571428571428571,1.0
b̥,L2,m,1,0.0,0.0,1.0,0.0,1.0
ç,L2,f,11,0.0,0.0,1.0,0.7272727272727273,1.0
d,L1,f,156,0.0,0.0,1.0,0.0,1.0
d,L1,m,546,0.0,0.0,1.0,0.0091575091575091,1.0
d,L2,f,626,0.0,0.0,1.0,0.0447284345047923,1.0
d,L2,m,156,0.0,0.0,1.0,0.0128205128205128,1.0
d̥,L2,f,2,0.0,0.0,1.0,1.0,1.0
d͡ʒ,L2,f,2,0.0,0.0,1.0,0.0,1.0
e,L1,f,24,0.0,0.0,0.0,0.0,1.0
e,L1,m,85,0.0,0.0,0.0,0.0117647058823529,1.0
e,L2,f,107,0.0,0.0,0.0,0.0,1.0
e,L2,m,25,0.0,0.0,0.0,0.0,1.0
f,L1,f,144,0.0,0.0,1.0,0.8402777777777778,0.0
f,L1,m,504,0.0,0.0,1.0,0.9563492063492064,0.0
f,L2,f,576,0.0,0.0,1.0,0.8802083333333334,0.0
f,L2,m,144,0.0,0.0,1.0,0.9027777777777778,0.0
h,L2,f,4,0.0,0.0,1.0,1.0,1.0
i,L1,f,204,0.0,0.0,0.0,0.0049019607843137,1.0
i,L1,m,706,0.0,0.0,0.0,0.0070821529745042,1.0
i,L2,f,778,0.0,0.0,0.0,0.0038560411311053,1.0
i,L2,m,184,0.0,0.0,0.0,0.0054347826086956,1.0
i̥,L2,f,2,0.0,0.0,1.0,0.0,1.0
j,L1,f,34,0.0,0.0,1.0,0.088235294117647,1.0
j,L1,m,122,0.0,0.0,1.0,0.1393442622950819,1.0
j,L2,f,145,0.0,0.0,1.0,0.0413793103448275,1.0
j,L2,m,24,0.0,0.0,1.0,0.2083333333333333,1.0
j̥,L2,f,1,0.0,0.0,1.0,0.0,1.0
k,L1,f,36,0.0,0.0,1.0,0.9166666666666666,1.0
k,L1,m,127,0.0,0.0,1.0,0.9606299212598424,1.0
k,L2,f,138,0.0,0.0,1.0,0.9130434782608696,1.0
k,L2,m,36,0.0,0.0,1.0,0.8611111111111112,1.0
l,L1,f,96,0.0,0.0,1.0,0.03125,1.0
l,L1,m,336,0.0,0.0,1.0,0.0476190476190476,1.0
l,L2,f,377,0.0,0.0,1.0,0.0,1.0
l,L2,m,92,0.0,0.0,1.0,0.0,1.0
lʲ,L2,f,4,0.0,0.0,1.0,0.0,1.0
l̝,L2,f,1,0.0,0.0,1.0,0.0,1.0
l̥,L2,m,2,0.0,0.0,1.0,0.0,1.0
l̰,L2,f,1,0.0,0.0,1.0,0.0,1.0
n,L1,f,12,0.0,0.0,1.0,0.0,1.0
n,L1,m,46,0.0,0.0,1.0,0.0,1.0
n,L2,f,50,0.0,0.0,1.0,0.0,1.0
n,L2,m,24,0.0,0.0,1.0,0.0,1.0
n̰,L2,f,1,0.0,0.0,1.0,0.0,1.0
