phoneme_label,speaker_group,n_tokens,f1_mean,f1_median,f1_sd,f1_iqr,f1_cv,f2_mean,f2_median,f2_sd,f2_iqr,f2_cv
i,L1/F,204,-0.8366250255218602,-0.9289631132203697,0.4134279449356868,0.5496670655627134,-0.4941615805453624,1.298295669433019,1.298049246948012,0.19664703728993763,0.20398783458986758,0.15146552662831858
i,L1/M,706,-1.0379413923520622,-1.0623848880804214,0.2949620923205394,0.35816856882995673,-0.2841799108253413,1.3654622175834017,1.3956054883307312,0.4148891491953391,0.2816215219711473,0.30384520629916145
i,L2/F,778,-0.9784244533233666,-1.0169643393532808,0.44000571914127684,0.4688075764750559,-0.4497084242393276,1.377049880061979,1.5612768123420162,0.7843169189162104,0.44031795557322706,0.5695631874140311
i,L2/M,184,-1.1121791094354625,-1.1548104690927876,0.2669577870639977,0.2940880372040853,-0.24003129064301915,1.4027109132108637,1.4514011546861387,0.43571920798827374,0.3576020910759685,0.3106265188961098
y,L1/F,60,-1.117149793177588,-1.0914635142117473,0.3250472705270614,0.3425871002159302,-0.2909612233848305,0.5000076933734258,0.5088240914439653,0.4029652920624325,0.5236465906152581,0.8059181836657898
y,L1/M,213,-0.5110380698822622,-0.8392300070421719,1.238521585339044,0.39205634584342774,-2.4235407464347736,0.3649907540598163,0.4157702632439993,0.5171335912006825,0.607844707889543,1.4168402499202273
y,L2/F,205,-0.9451795083216658,-0.9834259419960332,0.5064702447728799,0.41252717028773034,-0.5358455619422048,0.2064099375707327,0.2373169154291923,0.5135982546917597,0.6630719519930567,2.4882438352356933
y,L2/M,60,-0.9547363797025474,-1.0055320271113857,0.4239378443267304,0.33747395885945264,-0.4440365459403675,0.1516626158416576,0.4311601688712894,0.7045480497053671,0.43109449599948446,4.645495831622382
u,L1/F,73,-0.9587633779136251,-0.8958108809416271,0.39182316775455994,0.4754241273033363,-0.4086755676955562,-1.2705757558439592,-1.3104173535432724,0.39735499487475423,0.5003817476493173,-0.3127361694469116
u,L1/M,250,-0.6658795396969212,-0.6972748748410751,0.4138663838756668,0.37486448256924043,-0.6215334143830886,-1.3116650647894048,-1.3628583344798388,0.47937885186652546,0.5663608848727919,-0.3654735227270023
u,L2/F,317,-0.9094510701889074,-0.9359855095094424,0.3401756920333638,0.38616286980821224,-0.37404507310404733,-1.1429612953332324,-1.225966590879103,0.49911105888027646,0.6215005238807169,-0.436682380162978
u,L2/M,73,-0.9763469438318311,-0.980236867324317,0.253133932271574,0.26158871339816014,-0.25926637438747846,-1.1046026237856048,-1.2196672387575769,0.6127432754435029,0.628811142828889,-0.5547182871461582
e,L1/F,24,-0.36116875179218777,-0.5580495072622342,0.48787251835312556,0.7107560890291814,-1.350815971570657,0.8662619609427166,0.8470627471601366,0.13619944234333017,0.14702699449450418,0.15722662252779748
e,L1/M,85,-0.08673434595337084,-0.2654516235420068,0.533310503319785,0.9262667440653184,-6.148781056197707,0.6379979690956522,0.6893485624030845,0.32834790270076136,0.4144034823224567,0.5146535233743568
e,L2/F,107,-0.19576243514369726,-0.2356487149907206,0.44738852559275083,0.5557491641580693,-2.285364530045563,0.5925072333336564,0.7421687179747127,0.7676738762116975,0.7111544008365801,1.2956362944170177
e,L2/M,25,-0.22632018027415718,-0.238563987722643,0.23171502313319559,0.351722405255591,-1.023837215278387,0.7922798602296177,0.8314718440332489,0.3186818734852718,0.240974901445008,0.402233969942025
