analysis,representation,speaker_id,cluster_k2,l1_status,gender
speakers,acoustic,AB,2,L2,f
speakers,acoustic,AB2,2,L2,f
speakers,acoustic,AG,1,L1,m
speakers,acoustic,AN,1,L1,m
speakers,acoustic,AR,1,L1,m
speakers,acoustic,CB,2,L1,m
speakers,acoustic,DD,1,L2,f
speakers,acoustic,KB,2,L2,f
speakers,acoustic,KL,1,L2,m
speakers,acoustic,KV,2,L2,m
speakers,acoustic,MD,1,L1,m
speakers,acoustic,MM,2,L2,f
speakers,acoustic,RN,2,L2,f
speakers,acoustic,SD,2,L1,f
speakers,acoustic,SH,1,L1,m
speakers,acoustic,SV,1,L1,m
speakers,acoustic,UR,1,L2,f
speakers,acoustic,UV,2,L2,f
speakers,acoustic,YC,2,L1,f
speakers,whisper_layer20,AB,2,L2,f
speakers,whisper_layer20,AB2,2,L2,f
speakers,whisper_layer20,AG,1,L1,m
speakers,whisper_layer20,AN,1,L1,m
speakers,whisper_layer20,AR,1,L1,m
speakers,whisper_layer20,CB,1,L1,m
speakers,whisper_layer20,DD,2,L2,f
speakers,whisper_layer20,KB,2,L2,f
speakers,whisper_layer20,KL,2,L2,m
speakers,whisper_layer20,KV,2,L2,m
speakers,whisper_layer20,MD,1,L1,m
speakers,whisper_layer20,MM,2,L2,f
speakers,whisper_layer20,RN,2,L2,f
speakers,whisper_layer20,SD,1,L1,f
speakers,whisper_layer20,SH,1,L1,m
speakers,whisper_layer20,SV,1,L1,m
speakers,whisper_layer20,UR,2,L2,f
speakers,whisper_layer20,UV,2,L2,f
speakers,whisper_layer20,YC,1,L1,f
speakers,xlsr_layer18,AB,2,L2,f
speakers,xlsr_layer18,AB2,2,L2,f
speakers,xlsr_layer18,AG,1,L1,m
speakers,xlsr_layer18,AN,1,L1,m
speakers,xlsr_layer18,AR,1,L1,m
speakers,xlsr_layer18,CB,1,L1,m
speakers,xlsr_layer18,DD,2,L2,f
speakers,xlsr_layer18,KB,2,L2,f
speakers,xlsr_layer18,KL,1,L2,m
speakers,xlsr_layer18,KV,1,L2,m
speakers,xlsr_layer18,MD,1,L1,m
speakers,xlsr_layer18,MM,2,L2,f
speakers,xlsr_layer18,RN,2,L2,f
speakers,xlsr_layer18,SD,2,L1,f
speakers,xlsr_layer18,SH,1,L1,m
speakers,xlsr_layer18,SV,1,L1,m
speakers,xlsr_layer18,UR,2,L2,f
speakers,xlsr_layer18,UV,2,L2,f
speakers,xlsr_layer18,YC,2,L1,f
