analysis,representation,phoneme_label,cluster_k3,cluster_front_back_k4,truth_height,truth_front_back_central
vowels,acoustic,i,1,2,high,front
vowels,acoustic,y,1,1,high,central_rounded
vowels,acoustic,u,2,3,high,back
vowels,acoustic,e,1,1,mid,front
vowels,acoustic,ø,1,1,mid,central_rounded
vowels,acoustic,o,2,3,mid,back
vowels,acoustic,ɛ,1,1,mid,front
vowels,acoustic,œ,1,1,mid,central_rounded
vowels,acoustic,ə,1,1,mid,central
vowels,acoustic,a,3,4,low,front
vowels,acoustic,ɑ,3,4,low,back
vowels,whisper_layer20,i,3,4,high,front
vowels,whisper_layer20,y,2,3,high,central_rounded
vowels,whisper_layer20,u,2,3,high,back
vowels,whisper_layer20,e,2,2,mid,front
vowels,whisper_layer20,ø,2,2,mid,central_rounded
vowels,whisper_layer20,o,2,3,mid,back
vowels,whisper_layer20,ɛ,2,2,mid,front
vowels,whisper_layer20,œ,2,2,mid,central_rounded
vowels,whisper_layer20,ə,2,2,mid,central
vowels,whisper_layer20,a,1,1,low,front
vowels,whisper_layer20,ɑ,1,1,low,back
vowels,xlsr_layer18,i,3,4,high,front
vowels,xlsr_layer18,y,3,4,high,central_rounded
vowels,xlsr_layer18,u,2,3,high,back
vowels,xlsr_layer18,e,3,4,mid,front
vowels,xlsr_layer18,ø,3,4,mid,central_rounded
vowels,xlsr_layer18,o,2,3,mid,back
vowels,xlsr_layer18,ɛ,3,4,mid,front
vowels,xlsr_layer18,œ,3,4,mid,central_rounded
vowels,xlsr_layer18,ə,1,2,mid,central
vowels,xlsr_layer18,a,1,1,low,front
vowels,xlsr_layer18,ɑ,1,1,low,back
