,i,y,u,e,ø,o,ɛ,œ,ə,a,ɑ
i,0.0,1.0902393298545272,2.5829964392153997,1.0859410367609912,1.3853312416069485,2.0055704722792935,1.3520462685836312,1.1037216232340217,1.6051832284494447,2.5249163678893773,2.6647127402081323
y,1.0902393298545272,0.0,1.5076802511291199,0.7143491502844727,0.38900541361193114,0.9168697050634521,0.9757943825879377,0.4588690704562381,0.6849772394584575,1.77059257800891,1.693657291850557
u,2.5829964392153997,1.5076802511291199,0.0,1.9806340267307698,1.351687053181178,0.684998425349392,2.067633817159829,1.738231058466981,1.3611259425983966,1.9007420738947698,1.2865485582923044
e,1.0859410367609912,0.7143491502844727,1.9806340267307698,0.0,0.6367575328966575,1.2998601865444905,0.30680970422104087,0.27103949558067986,0.6730431956695125,1.4400017800064264,1.6589612368760316
ø,1.3853312416069485,0.38900541361193114,1.351687053181178,0.6367575328966575,0.0,0.6822486718983489,0.7944150709385478,0.3866079200753413,0.2995174146283323,1.3906604741574957,1.316449524743265
o,2.0055704722792935,0.9168697050634521,0.684998425349392,1.2998601865444905,0.6822486718983489,0.0,1.3842166665318696,1.066749886072999,0.6795399017700507,1.4281626978001227,1.0096020929262612
ɛ,1.3520462685836312,0.9757943825879377,2.067633817159829,0.30680970422104087,0.7944150709385478,1.3842166665318696,0.0,0.5174360217640621,0.7069479281589821,1.2090015148317763,1.539290361656867
œ,1.1037216232340217,0.4588690704562381,1.738231058466981,0.27103949558067986,0.3866079200753413,1.066749886072999,0.5174360217640621,0.0,0.5121210102520314,1.4655811959915743,1.5636343586113182
ə,1.6051832284494447,0.6849772394584575,1.3611259425983966,0.6730431956695125,0.2995174146283323,0.6795399017700507,0.7069479281589821,0.5121210102520314,0.0,1.0914457669812745,1.0608016763929968
a,2.5249163678893773,1.77059257800891,1.9007420738947698,1.4400017800064264,1.3906604741574957,1.4281626978001227,1.2090015148317763,1.4655811959915743,1.0914457669812745,0.0,0.7066291222563875
ɑ,2.6647127402081323,1.693657291850557,1.2865485582923044,1.6589612368760316,1.316449524743265,1.0096020929262612,1.539290361656867,1.5636343586113182,1.0608016763929968,0.7066291222563875,0.0
