,i,y,u,e,ø,o,ɛ,œ,ə,a,ɑ
i,0.0,2.169211394574931,5.096498580713098,2.063178937037573,2.7612210003214592,3.995930151864278,2.509428801099563,2.1696453261177866,3.177073259682526,4.823518590210338,5.263717255312125
y,2.169211394574931,0.0,2.947207071795589,1.1612536813454006,0.7185300527993058,1.8287170552948186,1.5676226759981986,0.7376854291706237,1.242014406643404,3.140106373258477,3.2530236428510495
u,5.096498580713098,2.947207071795589,0.0,3.684253098503447,2.5435124075398674,1.2511425979998247,3.7322017983696627,3.273634239322286,2.449055812612385,3.073083086512161,2.0692426910442085
e,2.063178937037573,1.1612536813454006,3.684253098503447,0.0,1.153386564252582,2.439912963752479,0.5167530227391168,0.4601291788399087,1.318332652740757,2.7618542956858936,3.309035782327416
ø,2.7612210003214592,0.7185300527993058,2.5435124075398674,1.153386564252582,0.0,1.3164016609824492,1.3307976510018344,0.7302199276179914,0.5296331862735651,2.437803742710359,2.552059414880763
o,3.995930151864278,1.8287170552948186,1.2511425979998247,2.439912963752479,1.3164016609824492,0.0,2.4838050602831614,2.0435237775385104,1.203933838108843,2.3073460883305357,1.7661523223674649
ɛ,2.509428801099563,1.5676226759981986,3.7322017983696627,0.5167530227391168,1.3307976510018344,2.4838050602831614,0.0,0.8312024591801699,1.283912427609092,2.367293581209369,3.0621335598360444
œ,2.1696453261177866,0.7376854291706237,3.273634239322286,0.4601291788399087,0.7302199276179914,2.0435237775385104,0.8312024591801699,0.0,1.0214820618797562,2.7189097519365815,3.0976003300069412
ə,3.177073259682526,1.242014406643404,2.449055812612385,1.318332652740757,0.5296331862735651,1.203933838108843,1.283912427609092,1.0214820618797562,0.0,1.90874425452349,2.088341631131803
a,4.823518590210338,3.140106373258477,3.073083086512161,2.7618542956858936,2.437803742710359,2.3073460883305357,2.367293581209369,2.7189097519365815,1.90874425452349,0.0,1.2220070118527075
ɑ,5.263717255312125,3.2530236428510495,2.0692426910442085,3.309035782327416,2.552059414880763,1.7661523223674649,3.0621335598360444,3.0976003300069412,2.088341631131803,1.2220070118527075,0.0
