,i,y,u,e,ø,o,ɛ,œ,ə,a,ɑ
i,0.0,0.7830048153690049,0.902080581002809,0.8373429760635003,0.9245157908761436,1.0372858026290144,0.8889203343247004,1.000310225063994,1.0075556101776155,1.227256339824799,1.337402369835446
y,0.7830048153690049,0.0,0.4602032388344752,0.8234841353126005,0.7266926690828718,0.888651873547982,0.7488269984343421,0.6849737872661569,0.9509507963869684,1.1463543319277973,1.2388322765835589
u,0.902080581002809,0.4602032388344752,0.0,0.946967033308788,0.8843016495319277,0.7521862914702486,0.8689686489949965,0.8996071106837911,0.9780076817292783,1.1036879884629125,1.2022383740918428
e,0.8373429760635003,0.8234841353126005,0.946967033308788,0.0,0.7005515414413939,0.8966943964571172,0.5106195727186571,0.373232649864503,0.7715215036026167,0.9590617715939815,1.1773105769441272
ø,0.9245157908761436,0.7266926690828718,0.8843016495319277,0.7005515414413939,0.0,0.8553076848616655,0.7961042486011105,0.7157037034012126,0.4272404809914885,1.003247714384669,1.0959533063130111
o,1.0372858026290144,0.888651873547982,0.7521862914702486,0.8966943964571172,0.8553076848616655,0.0,0.9199998395987935,0.8453927893553763,1.025726852863492,1.027518195090045,1.0762842753470598
ɛ,0.8889203343247004,0.7488269984343421,0.8689686489949965,0.5106195727186571,0.7961042486011105,0.9199998395987935,0.0,0.7330581311647639,0.8281338382068495,0.8534777850543386,1.1494905768050205
œ,1.000310225063994,0.6849737872661569,0.8996071106837911,0.373232649864503,0.7157037034012126,0.8453927893553763,0.7330581311647639,0.0,0.913970891772142,0.9877272553001153,1.0506953424279586
ə,1.0075556101776155,0.9509507963869684,0.9780076817292783,0.7715215036026167,0.4272404809914885,1.025726852863492,0.8281338382068495,0.913970891772142,0.0,0.71025366263971,1.1849968898650072
a,1.227256339824799,1.1463543319277973,1.1036879884629125,0.9590617715939815,1.003247714384669,1.027518195090045,0.8534777850543386,0.9877272553001153,0.71025366263971,0.0,0.6508737294270077
ɑ,1.337402369835446,1.2388322765835589,1.2022383740918428,1.1773105769441272,1.0959533063130111,1.0762842753470598,1.1494905768050205,1.0506953424279586,1.1849968898650072,0.6508737294270077,0.0
