,i,y,u,e,ø,o,ɛ,œ,ə,a,ɑ
i,0.0,0.5201346745108888,0.8557630196310924,0.600565025483714,0.7583615969623285,0.9518064186426155,0.7758750253384249,0.9108931824525837,1.1106141402207097,1.3579178451724216,1.3977659774052944
y,0.5201346745108888,0.0,0.44159877499059197,0.5743505118646606,0.3353829038462921,0.6262275610755947,0.7839118857168745,0.6347836208912778,0.926507180224478,1.267082277332835,1.2732420440937648
u,0.8557630196310924,0.44159877499059197,0.0,1.0999501934926594,0.7815224549649064,0.5169589178841676,1.1939362932793904,1.0186281525734666,1.2244844156519665,1.2418989066086397,0.9875104218630987
e,0.600565025483714,0.5743505118646606,1.0999501934926594,0.0,0.2996792108716546,0.7479443568649498,0.1703365505278982,0.34425873305045307,0.784453581464797,0.8103390672118025,1.0295127952183216
ø,0.7583615969623285,0.3353829038462921,0.7815224549649064,0.2996792108716546,0.0,0.5523920255783517,0.45571611007050816,0.5639431135562779,0.664808964707466,0.9026970864600257,0.9667673326259786
o,0.9518064186426155,0.6262275610755947,0.5169589178841676,0.7479443568649498,0.5523920255783517,0.0,0.9078423390267957,0.7463087705777937,1.2130399738936934,0.9694354178030916,0.7523891273554589
ɛ,0.7758750253384249,0.7839118857168745,1.1939362932793904,0.1703365505278982,0.45571611007050816,0.9078423390267957,0.0,0.5225126197370173,0.6959622403109995,0.5456308997399029,0.8689299722021077
œ,0.9108931824525837,0.6347836208912778,1.0186281525734666,0.34425873305045307,0.5639431135562779,0.7463087705777937,0.5225126197370173,0.0,0.9285988712181621,0.6789417919161833,0.9350298221239617
ə,1.1106141402207097,0.926507180224478,1.2244844156519665,0.784453581464797,0.664808964707466,1.2130399738936934,0.6959622403109995,0.9285988712181621,0.0,0.5771725603087656,1.0391791442420304
a,1.3579178451724216,1.267082277332835,1.2418989066086397,0.8103390672118025,0.9026970864600257,0.9694354178030916,0.5456308997399029,0.6789417919161833,0.5771725603087656,0.0,0.3536948325167709
ɑ,1.3977659774052944,1.2732420440937648,0.9875104218630987,1.0295127952183216,0.9667673326259786,0.7523891273554589,0.8689299722021077,0.9350298221239617,1.0391791442420304,0.3536948325167709,0.0
