model,phoneme_label,n_tokens,observed_l1_l2_cosine_distance,null_mean,null_sd,n_permutations,p_value,p_fdr_bh,significant_fdr_0_05
whisper_layer20,i,1872,0.03068917989730835,0.008744638413190842,0.005338814575225115,5000,0.004599080183963208,0.0072271260033707554,True
whisper_layer20,y,538,0.04286599159240723,0.010779527015984058,0.005183363799005747,5000,0.0001999600079984003,0.0007331866959941345,True
whisper_layer20,u,713,0.03411036729812622,0.006707122083753347,0.0035284790210425854,5000,0.0001999600079984003,0.0007331866959941345,True
whisper_layer20,e,241,0.03672373294830322,0.010790480300784111,0.00555114820599556,5000,0.0011997600479904018,0.002639472105578884,True
whisper_layer20,ø,228,0.048971474170684814,0.013048308901488781,0.0075525566935539246,5000,0.0027994401119776045,0.005132306871958942,True
whisper_layer20,o,114,0.01420748233795166,0.005167908500880003,0.0026167971082031727,5000,0.01199760047990402,0.016496700659868028,True
whisper_layer20,ɛ,347,0.04045224189758301,0.008129741065204144,0.004288849886506796,5000,0.0001999600079984003,0.0007331866959941345,True
whisper_layer20,œ,1,,,,5000,,1.0,False
whisper_layer20,ə,117,0.0680009126663208,0.12095019221305847,0.05124067887663841,5000,0.8352329534093181,0.91875624875025,False
whisper_layer20,a,3099,0.13162964582443237,0.021862808614969254,0.01694580353796482,5000,0.0003999200159968006,0.0010997800439912016,True
whisper_layer20,ɑ,1007,0.04395270347595215,0.01615176722407341,0.010900570079684258,5000,0.029194161167766446,0.03568175253838121,True
