model,phoneme_label,n_tokens,observed_l1_l2_cosine_distance,null_mean,null_sd,n_permutations,p_value,p_fdr_bh,significant_fdr_0_05
xlsr_layer18,i,1872,0.07625848054885864,0.020328978076577187,0.011305641382932663,5000,0.0021995600879824036,0.004399120175964807,True
xlsr_layer18,y,538,0.08406645059585571,0.024411045014858246,0.012212122790515423,5000,0.0027994401119776045,0.004399120175964807,True
xlsr_layer18,u,713,0.0749242901802063,0.022099828347563744,0.011154198087751865,5000,0.0033993201359728054,0.0046740651869626075,True
xlsr_layer18,e,241,0.13183683156967163,0.03206432983279228,0.01801556535065174,5000,0.0009998000399920016,0.004399120175964807,True
xlsr_layer18,ø,228,0.14689993858337402,0.04424360767006874,0.02291436865925789,5000,0.0009998000399920016,0.004399120175964807,True
xlsr_layer18,o,114,0.06751179695129395,0.031355973333120346,0.013244674541056156,5000,0.019596080783843232,0.02395076540247506,True
xlsr_layer18,ɛ,347,0.08294761180877686,0.02352159656584263,0.011500819586217403,5000,0.0015996800639872025,0.004399120175964807,True
xlsr_layer18,œ,1,,,,5000,,1.0,False
xlsr_layer18,ə,117,0.08206433057785034,0.17162421345710754,0.05425947532057762,5000,0.9206158768246351,1.0,False
xlsr_layer18,a,3099,0.09564286470413208,0.029683822765946388,0.013238178566098213,5000,0.0023995200959808036,0.004399120175964807,True
xlsr_layer18,ɑ,1007,0.10002243518829346,0.03664783760905266,0.015369419939815998,5000,0.0023995200959808036,0.004399120175964807,True
