model,layer,method,between_phoneme_variance_ratio_2d,within_phoneme_cosine_mean,between_phoneme_cosine_mean,within_between_similarity_ratio,similarity_sample_pairs
whisper,20,pca,0.6251336207746604,0.8816100654570386,0.7276916881951969,1.2115159204904296,20000
whisper,20,umap,0.41868678588619374,0.8085221377037,0.41167446761780885,1.9639841702651264,20000
whisper,6,pca,0.8179988625127949,0.7695583310605026,0.10365231904246612,7.424419812018064,20000
whisper,6,umap,0.20317536509322706,0.3828696554528084,0.2439783398471307,1.5692772386790677,20000
xlsr,18,pca,0.8493602272660371,0.8246050839690492,0.14992578571881168,5.500088460537468,20000
xlsr,18,umap,0.8160412187055293,0.9330398041471839,0.7645180020457599,1.2204288213625833,20000
xlsr,3,pca,0.8047197984215174,0.8038826529955492,0.12040532791264705,6.676470775269667,20000
xlsr,3,umap,0.7691731687511835,0.9793892913475633,0.877815248307027,1.1157123247020762,20000
xlsr,9,pca,0.765294397622473,0.7450598210855853,0.10644581778780557,6.999427845731102,20000
xlsr,9,umap,0.7490944551116878,0.877018500271812,0.10764419752992689,8.147382956038909,20000
