representation,phoneme_label,estimate_l1_l2_cosine_distance,ci95_low,ci95_high,rope_low,rope_high,rope_classification,noise_floor_intra_speaker_cosine,n_bootstrap
xlsr_layer18,i,0.07625847937823693,0.049200304542889144,0.13602365908557446,0.0,0.2776834111383077,Equivalent,0.2776834111383077,2000
xlsr_layer18,y,0.08406644013890718,0.056557694235525924,0.14932361511490905,0.0,0.4626917491790003,Equivalent,0.4626917491790003,2000
xlsr_layer18,u,0.07492422273527155,0.04734019790536158,0.14197720983841158,0.0,0.47440802896321377,Equivalent,0.47440802896321377,2000
xlsr_layer18,e,0.13183684987477284,0.07676441594354846,0.2276148655858947,0.0,0.38503825168658484,Equivalent,0.38503825168658484,2000
xlsr_layer18,ø,0.14689992425752596,0.09914832054554237,0.24811971636583902,0.0,0.1845016545788834,Indeterminate,0.1845016545788834,2000
xlsr_layer18,o,0.06751192440252463,0.04717397772717087,0.14561927770472163,0.0,0.09146492133927502,Indeterminate,0.09146492133927502,2000
xlsr_layer18,ɛ,0.08294750680041085,0.05721085952405484,0.14310697783094173,0.0,0.4116449354279882,Equivalent,0.4116449354279882,2000
xlsr_layer18,œ,,,,0.0,,Insufficient data,,0
xlsr_layer18,ə,0.08206421325397928,0.0811455350266169,0.39952410356679524,0.0,0.3735668435522832,Indeterminate,0.3735668435522832,1989
xlsr_layer18,a,0.09564292941132879,0.07482710151415509,0.15458036108769385,0.0,0.5713604208327029,Equivalent,0.5713604208327029,2000
xlsr_layer18,ɑ,0.10002226029960182,0.0686672059503766,0.24433137034218455,0.0,0.14074087681743738,Indeterminate,0.14074087681743738,2000
